Dataset ID,Project,Repository,Month,Monthly Fault Count,Cumulative Fault Count
OSS2,Wox,Wox-launcher/Wox,2014-01,1,1
OSS2,Wox,Wox-launcher/Wox,2014-02,1,2
OSS2,Wox,Wox-launcher/Wox,2014-03,8,10
OSS2,Wox,Wox-launcher/Wox,2014-04,1,11
OSS2,Wox,Wox-launcher/Wox,2014-05,1,12
OSS2,Wox,Wox-launcher/Wox,2014-06,0,12
OSS2,Wox,Wox-launcher/Wox,2014-07,1,13
OSS2,Wox,Wox-launcher/Wox,2014-08,3,16
OSS2,Wox,Wox-launcher/Wox,2014-09,1,17
OSS2,Wox,Wox-launcher/Wox,2014-10,2,19
OSS2,Wox,Wox-launcher/Wox,2014-11,0,19
OSS2,Wox,Wox-launcher/Wox,2014-12,1,20
OSS2,Wox,Wox-launcher/Wox,2015-01,2,22
OSS2,Wox,Wox-launcher/Wox,2015-02,4,26
OSS2,Wox,Wox-launcher/Wox,2015-03,1,27
OSS2,Wox,Wox-launcher/Wox,2015-04,2,29
OSS2,Wox,Wox-launcher/Wox,2015-05,2,31
OSS2,Wox,Wox-launcher/Wox,2015-06,2,33
OSS2,Wox,Wox-launcher/Wox,2015-07,1,34
OSS2,Wox,Wox-launcher/Wox,2015-08,3,37
OSS2,Wox,Wox-launcher/Wox,2015-09,0,37
OSS2,Wox,Wox-launcher/Wox,2015-10,0,37
OSS2,Wox,Wox-launcher/Wox,2015-11,13,50
OSS2,Wox,Wox-launcher/Wox,2015-12,8,58
OSS2,Wox,Wox-launcher/Wox,2016-01,8,66
OSS2,Wox,Wox-launcher/Wox,2016-02,3,69
OSS2,Wox,Wox-launcher/Wox,2016-03,12,81
OSS2,Wox,Wox-launcher/Wox,2016-04,9,90
OSS2,Wox,Wox-launcher/Wox,2016-05,30,120
OSS2,Wox,Wox-launcher/Wox,2016-06,10,130
OSS2,Wox,Wox-launcher/Wox,2016-07,7,137
OSS2,Wox,Wox-launcher/Wox,2016-08,7,144
OSS2,Wox,Wox-launcher/Wox,2016-09,4,148
OSS2,Wox,Wox-launcher/Wox,2016-10,6,154
OSS2,Wox,Wox-launcher/Wox,2016-11,3,157
OSS2,Wox,Wox-launcher/Wox,2016-12,0,157
OSS2,Wox,Wox-launcher/Wox,2017-01,4,161
OSS2,Wox,Wox-launcher/Wox,2017-02,5,166
OSS2,Wox,Wox-launcher/Wox,2017-03,10,176
OSS2,Wox,Wox-launcher/Wox,2017-04,5,181
OSS2,Wox,Wox-launcher/Wox,2017-05,4,185
OSS2,Wox,Wox-launcher/Wox,2017-06,5,190
OSS2,Wox,Wox-launcher/Wox,2017-07,1,191
OSS2,Wox,Wox-launcher/Wox,2017-08,1,192
OSS2,Wox,Wox-launcher/Wox,2017-09,1,193
OSS2,Wox,Wox-launcher/Wox,2017-10,0,193
OSS2,Wox,Wox-launcher/Wox,2017-11,2,195
OSS2,Wox,Wox-launcher/Wox,2017-12,4,199
OSS2,Wox,Wox-launcher/Wox,2018-01,9,208
OSS2,Wox,Wox-launcher/Wox,2018-02,1,209
OSS2,Wox,Wox-launcher/Wox,2018-03,0,209
OSS2,Wox,Wox-launcher/Wox,2018-04,0,209
OSS2,Wox,Wox-launcher/Wox,2018-05,0,209
OSS2,Wox,Wox-launcher/Wox,2018-06,0,209
OSS2,Wox,Wox-launcher/Wox,2018-07,0,209
OSS2,Wox,Wox-launcher/Wox,2018-08,2,211
OSS2,Wox,Wox-launcher/Wox,2018-09,0,211
OSS2,Wox,Wox-launcher/Wox,2018-10,0,211
OSS2,Wox,Wox-launcher/Wox,2018-11,0,211
OSS2,Wox,Wox-launcher/Wox,2018-12,1,212
OSS2,Wox,Wox-launcher/Wox,2019-01,0,212
OSS2,Wox,Wox-launcher/Wox,2019-02,1,213
OSS2,Wox,Wox-launcher/Wox,2019-03,2,215
OSS2,Wox,Wox-launcher/Wox,2019-04,0,215
OSS2,Wox,Wox-launcher/Wox,2019-05,1,216
OSS2,Wox,Wox-launcher/Wox,2019-06,0,216
OSS2,Wox,Wox-launcher/Wox,2019-07,0,216
OSS2,Wox,Wox-launcher/Wox,2019-08,0,216
OSS2,Wox,Wox-launcher/Wox,2019-09,0,216
OSS2,Wox,Wox-launcher/Wox,2019-10,1,217
OSS2,Wox,Wox-launcher/Wox,2019-11,0,217
OSS2,Wox,Wox-launcher/Wox,2019-12,0,217
OSS2,Wox,Wox-launcher/Wox,2020-01,0,217
OSS2,Wox,Wox-launcher/Wox,2020-02,0,217
OSS2,Wox,Wox-launcher/Wox,2020-03,0,217
OSS2,Wox,Wox-launcher/Wox,2020-04,7,224
OSS2,Wox,Wox-launcher/Wox,2020-05,34,258
OSS2,Wox,Wox-launcher/Wox,2020-06,11,269
OSS2,Wox,Wox-launcher/Wox,2020-07,6,275
OSS2,Wox,Wox-launcher/Wox,2020-08,12,287
OSS2,Wox,Wox-launcher/Wox,2020-09,8,295
OSS2,Wox,Wox-launcher/Wox,2020-10,13,308
OSS2,Wox,Wox-launcher/Wox,2020-11,5,313
OSS2,Wox,Wox-launcher/Wox,2020-12,1,314
OSS2,Wox,Wox-launcher/Wox,2021-01,6,320
OSS2,Wox,Wox-launcher/Wox,2021-02,8,328
OSS2,Wox,Wox-launcher/Wox,2021-03,1,329
OSS2,Wox,Wox-launcher/Wox,2021-04,1,330
OSS2,Wox,Wox-launcher/Wox,2021-05,2,332
OSS2,Wox,Wox-launcher/Wox,2021-06,2,334
OSS2,Wox,Wox-launcher/Wox,2021-07,6,340
OSS2,Wox,Wox-launcher/Wox,2021-08,4,344
OSS2,Wox,Wox-launcher/Wox,2021-09,4,348
OSS2,Wox,Wox-launcher/Wox,2021-10,2,350
OSS2,Wox,Wox-launcher/Wox,2021-11,3,353
OSS2,Wox,Wox-launcher/Wox,2021-12,0,353
OSS2,Wox,Wox-launcher/Wox,2022-01,1,354
OSS2,Wox,Wox-launcher/Wox,2022-02,0,354
OSS2,Wox,Wox-launcher/Wox,2022-03,0,354
OSS2,Wox,Wox-launcher/Wox,2022-04,1,355
OSS2,Wox,Wox-launcher/Wox,2022-05,1,356
OSS2,Wox,Wox-launcher/Wox,2022-06,3,359
OSS2,Wox,Wox-launcher/Wox,2022-07,3,362
OSS2,Wox,Wox-launcher/Wox,2022-08,0,362
OSS2,Wox,Wox-launcher/Wox,2022-09,0,362
OSS2,Wox,Wox-launcher/Wox,2022-10,0,362
OSS2,Wox,Wox-launcher/Wox,2022-11,3,365
OSS2,Wox,Wox-launcher/Wox,2022-12,2,367
OSS2,Wox,Wox-launcher/Wox,2023-01,1,368
OSS2,Wox,Wox-launcher/Wox,2023-02,0,368
OSS2,Wox,Wox-launcher/Wox,2023-03,3,371
