Dataset ID,Project,Repository,Month,Monthly Fault Count,Cumulative Fault Count
OSS4,Homebrew,Homebrew/brew,2016-04,7,7
OSS4,Homebrew,Homebrew/brew,2016-05,0,7
OSS4,Homebrew,Homebrew/brew,2016-06,3,10
OSS4,Homebrew,Homebrew/brew,2016-07,8,18
OSS4,Homebrew,Homebrew/brew,2016-08,10,28
OSS4,Homebrew,Homebrew/brew,2016-09,9,37
OSS4,Homebrew,Homebrew/brew,2016-10,5,42
OSS4,Homebrew,Homebrew/brew,2016-11,2,44
OSS4,Homebrew,Homebrew/brew,2016-12,2,46
OSS4,Homebrew,Homebrew/brew,2017-01,2,48
OSS4,Homebrew,Homebrew/brew,2017-02,0,48
OSS4,Homebrew,Homebrew/brew,2017-03,2,50
OSS4,Homebrew,Homebrew/brew,2017-04,3,53
OSS4,Homebrew,Homebrew/brew,2017-05,1,54
OSS4,Homebrew,Homebrew/brew,2017-06,0,54
OSS4,Homebrew,Homebrew/brew,2017-07,2,56
OSS4,Homebrew,Homebrew/brew,2017-08,2,58
OSS4,Homebrew,Homebrew/brew,2017-09,1,59
OSS4,Homebrew,Homebrew/brew,2017-10,2,61
OSS4,Homebrew,Homebrew/brew,2017-11,1,62
OSS4,Homebrew,Homebrew/brew,2017-12,1,63
OSS4,Homebrew,Homebrew/brew,2018-01,1,64
OSS4,Homebrew,Homebrew/brew,2018-02,1,65
OSS4,Homebrew,Homebrew/brew,2018-03,1,66
OSS4,Homebrew,Homebrew/brew,2018-04,1,67
OSS4,Homebrew,Homebrew/brew,2018-05,2,69
OSS4,Homebrew,Homebrew/brew,2018-06,2,71
OSS4,Homebrew,Homebrew/brew,2018-07,1,72
OSS4,Homebrew,Homebrew/brew,2018-08,5,77
OSS4,Homebrew,Homebrew/brew,2018-09,3,80
OSS4,Homebrew,Homebrew/brew,2018-10,0,80
OSS4,Homebrew,Homebrew/brew,2018-11,0,80
OSS4,Homebrew,Homebrew/brew,2018-12,2,82
OSS4,Homebrew,Homebrew/brew,2019-01,3,85
OSS4,Homebrew,Homebrew/brew,2019-02,3,88
OSS4,Homebrew,Homebrew/brew,2019-03,0,88
OSS4,Homebrew,Homebrew/brew,2019-04,2,90
OSS4,Homebrew,Homebrew/brew,2019-05,2,92
OSS4,Homebrew,Homebrew/brew,2019-06,1,93
OSS4,Homebrew,Homebrew/brew,2019-07,0,93
OSS4,Homebrew,Homebrew/brew,2019-08,1,94
OSS4,Homebrew,Homebrew/brew,2019-09,2,96
OSS4,Homebrew,Homebrew/brew,2019-10,2,98
OSS4,Homebrew,Homebrew/brew,2019-11,0,98
OSS4,Homebrew,Homebrew/brew,2019-12,0,98
OSS4,Homebrew,Homebrew/brew,2020-01,3,101
OSS4,Homebrew,Homebrew/brew,2020-02,1,102
OSS4,Homebrew,Homebrew/brew,2020-03,0,102
OSS4,Homebrew,Homebrew/brew,2020-04,3,105
OSS4,Homebrew,Homebrew/brew,2020-05,1,106
OSS4,Homebrew,Homebrew/brew,2020-06,5,111
OSS4,Homebrew,Homebrew/brew,2020-07,3,114
OSS4,Homebrew,Homebrew/brew,2020-08,0,114
OSS4,Homebrew,Homebrew/brew,2020-09,0,114
OSS4,Homebrew,Homebrew/brew,2020-10,0,114
OSS4,Homebrew,Homebrew/brew,2020-11,4,118
OSS4,Homebrew,Homebrew/brew,2020-12,3,121
OSS4,Homebrew,Homebrew/brew,2021-01,1,122
OSS4,Homebrew,Homebrew/brew,2021-02,49,171
OSS4,Homebrew,Homebrew/brew,2021-03,33,204
OSS4,Homebrew,Homebrew/brew,2021-04,47,251
OSS4,Homebrew,Homebrew/brew,2021-05,20,271
OSS4,Homebrew,Homebrew/brew,2021-06,21,292
OSS4,Homebrew,Homebrew/brew,2021-07,24,316
OSS4,Homebrew,Homebrew/brew,2021-08,21,337
OSS4,Homebrew,Homebrew/brew,2021-09,27,364
OSS4,Homebrew,Homebrew/brew,2021-10,24,388
OSS4,Homebrew,Homebrew/brew,2021-11,6,394
OSS4,Homebrew,Homebrew/brew,2021-12,15,409
OSS4,Homebrew,Homebrew/brew,2022-01,19,428
OSS4,Homebrew,Homebrew/brew,2022-02,11,439
OSS4,Homebrew,Homebrew/brew,2022-03,17,456
OSS4,Homebrew,Homebrew/brew,2022-04,20,476
OSS4,Homebrew,Homebrew/brew,2022-05,17,493
OSS4,Homebrew,Homebrew/brew,2022-06,20,513
OSS4,Homebrew,Homebrew/brew,2022-07,16,529
OSS4,Homebrew,Homebrew/brew,2022-08,31,560
OSS4,Homebrew,Homebrew/brew,2022-09,34,594
OSS4,Homebrew,Homebrew/brew,2022-10,23,617
OSS4,Homebrew,Homebrew/brew,2022-11,22,639
OSS4,Homebrew,Homebrew/brew,2022-12,16,655
OSS4,Homebrew,Homebrew/brew,2023-01,18,673
OSS4,Homebrew,Homebrew/brew,2023-02,60,733
OSS4,Homebrew,Homebrew/brew,2023-03,24,757
OSS4,Homebrew,Homebrew/brew,2023-04,11,768
