Dataset ID,Project,Repository,Month,Monthly Fault Count,Cumulative Fault Count
OSS5,PyTorch,pytorch/pytorch,2016-09,1,1
OSS5,PyTorch,pytorch/pytorch,2016-10,0,1
OSS5,PyTorch,pytorch/pytorch,2016-11,2,3
OSS5,PyTorch,pytorch/pytorch,2016-12,3,6
OSS5,PyTorch,pytorch/pytorch,2017-01,4,10
OSS5,PyTorch,pytorch/pytorch,2017-02,3,13
OSS5,PyTorch,pytorch/pytorch,2017-03,6,19
OSS5,PyTorch,pytorch/pytorch,2017-04,5,24
OSS5,PyTorch,pytorch/pytorch,2017-05,5,29
OSS5,PyTorch,pytorch/pytorch,2017-06,2,31
OSS5,PyTorch,pytorch/pytorch,2017-07,3,34
OSS5,PyTorch,pytorch/pytorch,2017-08,1,35
OSS5,PyTorch,pytorch/pytorch,2017-09,4,39
OSS5,PyTorch,pytorch/pytorch,2017-10,3,42
OSS5,PyTorch,pytorch/pytorch,2017-11,1,43
OSS5,PyTorch,pytorch/pytorch,2017-12,3,46
OSS5,PyTorch,pytorch/pytorch,2018-01,3,49
OSS5,PyTorch,pytorch/pytorch,2018-02,3,52
OSS5,PyTorch,pytorch/pytorch,2018-03,2,54
OSS5,PyTorch,pytorch/pytorch,2018-04,8,62
OSS5,PyTorch,pytorch/pytorch,2018-05,3,65
OSS5,PyTorch,pytorch/pytorch,2018-06,0,65
OSS5,PyTorch,pytorch/pytorch,2018-07,1,66
OSS5,PyTorch,pytorch/pytorch,2018-08,7,73
OSS5,PyTorch,pytorch/pytorch,2018-09,3,76
OSS5,PyTorch,pytorch/pytorch,2018-10,11,87
OSS5,PyTorch,pytorch/pytorch,2018-11,4,91
OSS5,PyTorch,pytorch/pytorch,2018-12,12,103
OSS5,PyTorch,pytorch/pytorch,2019-01,12,115
OSS5,PyTorch,pytorch/pytorch,2019-02,9,124
OSS5,PyTorch,pytorch/pytorch,2019-03,15,139
OSS5,PyTorch,pytorch/pytorch,2019-04,17,156
OSS5,PyTorch,pytorch/pytorch,2019-05,13,169
OSS5,PyTorch,pytorch/pytorch,2019-06,20,189
OSS5,PyTorch,pytorch/pytorch,2019-07,19,208
OSS5,PyTorch,pytorch/pytorch,2019-08,20,228
OSS5,PyTorch,pytorch/pytorch,2019-09,23,251
OSS5,PyTorch,pytorch/pytorch,2019-10,16,267
OSS5,PyTorch,pytorch/pytorch,2019-11,12,279
OSS5,PyTorch,pytorch/pytorch,2019-12,14,293
OSS5,PyTorch,pytorch/pytorch,2020-01,22,315
OSS5,PyTorch,pytorch/pytorch,2020-02,9,324
OSS5,PyTorch,pytorch/pytorch,2020-03,10,334
OSS5,PyTorch,pytorch/pytorch,2020-04,21,355
OSS5,PyTorch,pytorch/pytorch,2020-05,18,373
OSS5,PyTorch,pytorch/pytorch,2020-06,13,386
OSS5,PyTorch,pytorch/pytorch,2020-07,73,459
OSS5,PyTorch,pytorch/pytorch,2020-08,18,477
OSS5,PyTorch,pytorch/pytorch,2020-09,16,493
OSS5,PyTorch,pytorch/pytorch,2020-10,13,506
OSS5,PyTorch,pytorch/pytorch,2020-11,13,519
OSS5,PyTorch,pytorch/pytorch,2020-12,15,534
OSS5,PyTorch,pytorch/pytorch,2021-01,26,560
OSS5,PyTorch,pytorch/pytorch,2021-02,10,570
OSS5,PyTorch,pytorch/pytorch,2021-03,16,586
OSS5,PyTorch,pytorch/pytorch,2021-04,24,610
OSS5,PyTorch,pytorch/pytorch,2021-05,11,621
OSS5,PyTorch,pytorch/pytorch,2021-06,12,633
OSS5,PyTorch,pytorch/pytorch,2021-07,14,647
OSS5,PyTorch,pytorch/pytorch,2021-08,14,661
OSS5,PyTorch,pytorch/pytorch,2021-09,23,684
OSS5,PyTorch,pytorch/pytorch,2021-10,16,700
OSS5,PyTorch,pytorch/pytorch,2021-11,12,712
OSS5,PyTorch,pytorch/pytorch,2021-12,20,732
OSS5,PyTorch,pytorch/pytorch,2022-01,23,755
OSS5,PyTorch,pytorch/pytorch,2022-02,34,789
OSS5,PyTorch,pytorch/pytorch,2022-03,22,811
OSS5,PyTorch,pytorch/pytorch,2022-04,14,825
OSS5,PyTorch,pytorch/pytorch,2022-05,13,838
OSS5,PyTorch,pytorch/pytorch,2022-06,21,859
OSS5,PyTorch,pytorch/pytorch,2022-07,27,886
OSS5,PyTorch,pytorch/pytorch,2022-08,23,909
OSS5,PyTorch,pytorch/pytorch,2022-09,51,960
OSS5,PyTorch,pytorch/pytorch,2022-10,67,1027
OSS5,PyTorch,pytorch/pytorch,2022-11,71,1098
OSS5,PyTorch,pytorch/pytorch,2022-12,55,1153
OSS5,PyTorch,pytorch/pytorch,2023-01,43,1196
OSS5,PyTorch,pytorch/pytorch,2023-02,38,1234
OSS5,PyTorch,pytorch/pytorch,2023-03,32,1266
