Dataset ID,Project,Repository,Month,Monthly Fault Count,Cumulative Fault Count
OSS6,Chart.js,chartjs/Chart.js,2013-03,1,1
OSS6,Chart.js,chartjs/Chart.js,2013-04,0,1
OSS6,Chart.js,chartjs/Chart.js,2013-05,2,3
OSS6,Chart.js,chartjs/Chart.js,2013-06,1,4
OSS6,Chart.js,chartjs/Chart.js,2013-07,0,4
OSS6,Chart.js,chartjs/Chart.js,2013-08,0,4
OSS6,Chart.js,chartjs/Chart.js,2013-09,0,4
OSS6,Chart.js,chartjs/Chart.js,2013-10,0,4
OSS6,Chart.js,chartjs/Chart.js,2013-11,0,4
OSS6,Chart.js,chartjs/Chart.js,2013-12,0,4
OSS6,Chart.js,chartjs/Chart.js,2014-01,1,5
OSS6,Chart.js,chartjs/Chart.js,2014-02,0,5
OSS6,Chart.js,chartjs/Chart.js,2014-03,0,5
OSS6,Chart.js,chartjs/Chart.js,2014-04,0,5
OSS6,Chart.js,chartjs/Chart.js,2014-05,0,5
OSS6,Chart.js,chartjs/Chart.js,2014-06,1,6
OSS6,Chart.js,chartjs/Chart.js,2014-07,5,11
OSS6,Chart.js,chartjs/Chart.js,2014-08,9,20
OSS6,Chart.js,chartjs/Chart.js,2014-09,8,28
OSS6,Chart.js,chartjs/Chart.js,2014-10,6,34
OSS6,Chart.js,chartjs/Chart.js,2014-11,5,39
OSS6,Chart.js,chartjs/Chart.js,2014-12,6,45
OSS6,Chart.js,chartjs/Chart.js,2015-01,9,54
OSS6,Chart.js,chartjs/Chart.js,2015-02,7,61
OSS6,Chart.js,chartjs/Chart.js,2015-03,5,66
OSS6,Chart.js,chartjs/Chart.js,2015-04,3,69
OSS6,Chart.js,chartjs/Chart.js,2015-05,1,70
OSS6,Chart.js,chartjs/Chart.js,2015-06,14,84
OSS6,Chart.js,chartjs/Chart.js,2015-07,15,99
OSS6,Chart.js,chartjs/Chart.js,2015-08,9,108
OSS6,Chart.js,chartjs/Chart.js,2015-09,5,113
OSS6,Chart.js,chartjs/Chart.js,2015-10,4,117
OSS6,Chart.js,chartjs/Chart.js,2015-11,23,140
OSS6,Chart.js,chartjs/Chart.js,2015-12,23,163
OSS6,Chart.js,chartjs/Chart.js,2016-01,26,189
OSS6,Chart.js,chartjs/Chart.js,2016-02,27,216
OSS6,Chart.js,chartjs/Chart.js,2016-03,29,245
OSS6,Chart.js,chartjs/Chart.js,2016-04,60,305
OSS6,Chart.js,chartjs/Chart.js,2016-05,53,358
OSS6,Chart.js,chartjs/Chart.js,2016-06,43,401
OSS6,Chart.js,chartjs/Chart.js,2016-07,34,435
OSS6,Chart.js,chartjs/Chart.js,2016-08,39,474
OSS6,Chart.js,chartjs/Chart.js,2016-09,30,504
OSS6,Chart.js,chartjs/Chart.js,2016-10,20,524
OSS6,Chart.js,chartjs/Chart.js,2016-11,30,554
OSS6,Chart.js,chartjs/Chart.js,2016-12,15,569
OSS6,Chart.js,chartjs/Chart.js,2017-01,19,588
OSS6,Chart.js,chartjs/Chart.js,2017-02,28,616
OSS6,Chart.js,chartjs/Chart.js,2017-03,21,637
OSS6,Chart.js,chartjs/Chart.js,2017-04,21,658
OSS6,Chart.js,chartjs/Chart.js,2017-05,25,683
OSS6,Chart.js,chartjs/Chart.js,2017-06,30,713
OSS6,Chart.js,chartjs/Chart.js,2017-07,30,743
OSS6,Chart.js,chartjs/Chart.js,2017-08,32,775
OSS6,Chart.js,chartjs/Chart.js,2017-09,15,790
OSS6,Chart.js,chartjs/Chart.js,2017-10,14,804
OSS6,Chart.js,chartjs/Chart.js,2017-11,14,818
OSS6,Chart.js,chartjs/Chart.js,2017-12,9,827
OSS6,Chart.js,chartjs/Chart.js,2018-01,19,846
OSS6,Chart.js,chartjs/Chart.js,2018-02,15,861
OSS6,Chart.js,chartjs/Chart.js,2018-03,15,876
OSS6,Chart.js,chartjs/Chart.js,2018-04,11,887
OSS6,Chart.js,chartjs/Chart.js,2018-05,10,897
OSS6,Chart.js,chartjs/Chart.js,2018-06,10,907
OSS6,Chart.js,chartjs/Chart.js,2018-07,6,913
OSS6,Chart.js,chartjs/Chart.js,2018-08,14,927
OSS6,Chart.js,chartjs/Chart.js,2018-09,3,930
OSS6,Chart.js,chartjs/Chart.js,2018-10,6,936
OSS6,Chart.js,chartjs/Chart.js,2018-11,6,942
OSS6,Chart.js,chartjs/Chart.js,2018-12,11,953
OSS6,Chart.js,chartjs/Chart.js,2019-01,7,960
OSS6,Chart.js,chartjs/Chart.js,2019-02,9,969
OSS6,Chart.js,chartjs/Chart.js,2019-03,17,986
OSS6,Chart.js,chartjs/Chart.js,2019-04,13,999
OSS6,Chart.js,chartjs/Chart.js,2019-05,11,1010
OSS6,Chart.js,chartjs/Chart.js,2019-06,12,1022
OSS6,Chart.js,chartjs/Chart.js,2019-07,24,1046
OSS6,Chart.js,chartjs/Chart.js,2019-08,17,1063
OSS6,Chart.js,chartjs/Chart.js,2019-09,12,1075
OSS6,Chart.js,chartjs/Chart.js,2019-10,23,1098
OSS6,Chart.js,chartjs/Chart.js,2019-11,15,1113
OSS6,Chart.js,chartjs/Chart.js,2019-12,17,1130
OSS6,Chart.js,chartjs/Chart.js,2020-01,30,1160
OSS6,Chart.js,chartjs/Chart.js,2020-02,16,1176
OSS6,Chart.js,chartjs/Chart.js,2020-03,20,1196
OSS6,Chart.js,chartjs/Chart.js,2020-04,14,1210
OSS6,Chart.js,chartjs/Chart.js,2020-05,32,1242
OSS6,Chart.js,chartjs/Chart.js,2020-06,35,1277
OSS6,Chart.js,chartjs/Chart.js,2020-07,23,1300
OSS6,Chart.js,chartjs/Chart.js,2020-08,13,1313
OSS6,Chart.js,chartjs/Chart.js,2020-09,21,1334
OSS6,Chart.js,chartjs/Chart.js,2020-10,27,1361
OSS6,Chart.js,chartjs/Chart.js,2020-11,40,1401
OSS6,Chart.js,chartjs/Chart.js,2020-12,28,1429
OSS6,Chart.js,chartjs/Chart.js,2021-01,20,1449
OSS6,Chart.js,chartjs/Chart.js,2021-02,35,1484
OSS6,Chart.js,chartjs/Chart.js,2021-03,45,1529
OSS6,Chart.js,chartjs/Chart.js,2021-04,37,1566
OSS6,Chart.js,chartjs/Chart.js,2021-05,37,1603
OSS6,Chart.js,chartjs/Chart.js,2021-06,27,1630
OSS6,Chart.js,chartjs/Chart.js,2021-07,43,1673
OSS6,Chart.js,chartjs/Chart.js,2021-08,28,1701
OSS6,Chart.js,chartjs/Chart.js,2021-09,26,1727
OSS6,Chart.js,chartjs/Chart.js,2021-10,17,1744
OSS6,Chart.js,chartjs/Chart.js,2021-11,27,1771
OSS6,Chart.js,chartjs/Chart.js,2021-12,16,1787
OSS6,Chart.js,chartjs/Chart.js,2022-01,13,1800
OSS6,Chart.js,chartjs/Chart.js,2022-02,13,1813
OSS6,Chart.js,chartjs/Chart.js,2022-03,13,1826
OSS6,Chart.js,chartjs/Chart.js,2022-04,15,1841
OSS6,Chart.js,chartjs/Chart.js,2022-05,16,1857
OSS6,Chart.js,chartjs/Chart.js,2022-06,12,1869
OSS6,Chart.js,chartjs/Chart.js,2022-07,17,1886
OSS6,Chart.js,chartjs/Chart.js,2022-08,23,1909
