Dataset ID,Project,Repository,Month,Monthly Fault Count,Cumulative Fault Count
OSS7,DevDocs,freeCodeCamp/devdocs,2013-11,3,3
OSS7,DevDocs,freeCodeCamp/devdocs,2013-12,1,4
OSS7,DevDocs,freeCodeCamp/devdocs,2014-01,4,8
OSS7,DevDocs,freeCodeCamp/devdocs,2014-02,1,9
OSS7,DevDocs,freeCodeCamp/devdocs,2014-03,0,9
OSS7,DevDocs,freeCodeCamp/devdocs,2014-04,1,10
OSS7,DevDocs,freeCodeCamp/devdocs,2014-05,0,10
OSS7,DevDocs,freeCodeCamp/devdocs,2014-06,0,10
OSS7,DevDocs,freeCodeCamp/devdocs,2014-07,0,10
OSS7,DevDocs,freeCodeCamp/devdocs,2014-08,0,10
OSS7,DevDocs,freeCodeCamp/devdocs,2014-09,1,11
OSS7,DevDocs,freeCodeCamp/devdocs,2014-10,0,11
OSS7,DevDocs,freeCodeCamp/devdocs,2014-11,0,11
OSS7,DevDocs,freeCodeCamp/devdocs,2014-12,1,12
OSS7,DevDocs,freeCodeCamp/devdocs,2015-01,0,12
OSS7,DevDocs,freeCodeCamp/devdocs,2015-02,1,13
OSS7,DevDocs,freeCodeCamp/devdocs,2015-03,0,13
OSS7,DevDocs,freeCodeCamp/devdocs,2015-04,0,13
OSS7,DevDocs,freeCodeCamp/devdocs,2015-05,1,14
OSS7,DevDocs,freeCodeCamp/devdocs,2015-06,0,14
OSS7,DevDocs,freeCodeCamp/devdocs,2015-07,0,14
OSS7,DevDocs,freeCodeCamp/devdocs,2015-08,0,14
OSS7,DevDocs,freeCodeCamp/devdocs,2015-09,2,16
OSS7,DevDocs,freeCodeCamp/devdocs,2015-10,2,18
OSS7,DevDocs,freeCodeCamp/devdocs,2015-11,3,21
OSS7,DevDocs,freeCodeCamp/devdocs,2015-12,1,22
OSS7,DevDocs,freeCodeCamp/devdocs,2016-01,6,28
OSS7,DevDocs,freeCodeCamp/devdocs,2016-02,2,30
OSS7,DevDocs,freeCodeCamp/devdocs,2016-03,3,33
OSS7,DevDocs,freeCodeCamp/devdocs,2016-04,0,33
OSS7,DevDocs,freeCodeCamp/devdocs,2016-05,3,36
OSS7,DevDocs,freeCodeCamp/devdocs,2016-06,3,39
OSS7,DevDocs,freeCodeCamp/devdocs,2016-07,5,44
OSS7,DevDocs,freeCodeCamp/devdocs,2016-08,7,51
OSS7,DevDocs,freeCodeCamp/devdocs,2016-09,1,52
OSS7,DevDocs,freeCodeCamp/devdocs,2016-10,3,55
OSS7,DevDocs,freeCodeCamp/devdocs,2016-11,2,57
OSS7,DevDocs,freeCodeCamp/devdocs,2016-12,5,62
OSS7,DevDocs,freeCodeCamp/devdocs,2017-01,3,65
OSS7,DevDocs,freeCodeCamp/devdocs,2017-02,3,68
OSS7,DevDocs,freeCodeCamp/devdocs,2017-03,5,73
OSS7,DevDocs,freeCodeCamp/devdocs,2017-04,3,76
OSS7,DevDocs,freeCodeCamp/devdocs,2017-05,3,79
OSS7,DevDocs,freeCodeCamp/devdocs,2017-06,2,81
OSS7,DevDocs,freeCodeCamp/devdocs,2017-07,0,81
OSS7,DevDocs,freeCodeCamp/devdocs,2017-08,1,82
OSS7,DevDocs,freeCodeCamp/devdocs,2017-09,4,86
OSS7,DevDocs,freeCodeCamp/devdocs,2017-10,1,87
OSS7,DevDocs,freeCodeCamp/devdocs,2017-11,4,91
OSS7,DevDocs,freeCodeCamp/devdocs,2017-12,5,96
OSS7,DevDocs,freeCodeCamp/devdocs,2018-01,1,97
OSS7,DevDocs,freeCodeCamp/devdocs,2018-02,0,97
OSS7,DevDocs,freeCodeCamp/devdocs,2018-03,4,101
OSS7,DevDocs,freeCodeCamp/devdocs,2018-04,1,102
OSS7,DevDocs,freeCodeCamp/devdocs,2018-05,3,105
OSS7,DevDocs,freeCodeCamp/devdocs,2018-06,2,107
OSS7,DevDocs,freeCodeCamp/devdocs,2018-07,4,111
OSS7,DevDocs,freeCodeCamp/devdocs,2018-08,1,112
OSS7,DevDocs,freeCodeCamp/devdocs,2018-09,3,115
OSS7,DevDocs,freeCodeCamp/devdocs,2018-10,2,117
OSS7,DevDocs,freeCodeCamp/devdocs,2018-11,7,124
OSS7,DevDocs,freeCodeCamp/devdocs,2018-12,3,127
OSS7,DevDocs,freeCodeCamp/devdocs,2019-01,0,127
OSS7,DevDocs,freeCodeCamp/devdocs,2019-02,0,127
OSS7,DevDocs,freeCodeCamp/devdocs,2019-03,0,127
OSS7,DevDocs,freeCodeCamp/devdocs,2019-04,1,128
OSS7,DevDocs,freeCodeCamp/devdocs,2019-05,0,128
OSS7,DevDocs,freeCodeCamp/devdocs,2019-06,1,129
OSS7,DevDocs,freeCodeCamp/devdocs,2019-07,2,131
OSS7,DevDocs,freeCodeCamp/devdocs,2019-08,0,131
OSS7,DevDocs,freeCodeCamp/devdocs,2019-09,2,133
OSS7,DevDocs,freeCodeCamp/devdocs,2019-10,6,139
OSS7,DevDocs,freeCodeCamp/devdocs,2019-11,2,141
