Dataset ID,Project,Repository,Month,Monthly Fault Count,Cumulative Fault Count
OSS1,Redis,redis/redis,2011-09,10,10
OSS1,Redis,redis/redis,2011-10,11,21
OSS1,Redis,redis/redis,2011-11,6,27
OSS1,Redis,redis/redis,2011-12,6,33
OSS1,Redis,redis/redis,2012-01,4,37
OSS1,Redis,redis/redis,2012-02,9,46
OSS1,Redis,redis/redis,2012-03,3,49
OSS1,Redis,redis/redis,2012-04,4,53
OSS1,Redis,redis/redis,2012-05,3,56
OSS1,Redis,redis/redis,2012-06,4,60
OSS1,Redis,redis/redis,2012-07,1,61
OSS1,Redis,redis/redis,2012-08,1,62
OSS1,Redis,redis/redis,2012-09,3,65
OSS1,Redis,redis/redis,2012-10,2,67
OSS1,Redis,redis/redis,2012-11,3,70
OSS1,Redis,redis/redis,2012-12,1,71
OSS1,Redis,redis/redis,2013-01,4,75
OSS1,Redis,redis/redis,2013-02,0,75
OSS1,Redis,redis/redis,2013-03,2,77
OSS1,Redis,redis/redis,2013-04,0,77
OSS1,Redis,redis/redis,2013-05,2,79
OSS1,Redis,redis/redis,2013-06,0,79
OSS1,Redis,redis/redis,2013-07,1,80
OSS1,Redis,redis/redis,2013-08,0,80
OSS1,Redis,redis/redis,2013-09,0,80
OSS1,Redis,redis/redis,2013-10,0,80
OSS1,Redis,redis/redis,2013-11,0,80
OSS1,Redis,redis/redis,2013-12,1,81
OSS1,Redis,redis/redis,2014-01,1,82
OSS1,Redis,redis/redis,2014-02,0,82
OSS1,Redis,redis/redis,2014-03,0,82
OSS1,Redis,redis/redis,2014-04,0,82
OSS1,Redis,redis/redis,2014-05,0,82
OSS1,Redis,redis/redis,2014-06,0,82
OSS1,Redis,redis/redis,2014-07,0,82
OSS1,Redis,redis/redis,2014-08,0,82
OSS1,Redis,redis/redis,2014-09,0,82
OSS1,Redis,redis/redis,2014-10,0,82
OSS1,Redis,redis/redis,2014-11,1,83
OSS1,Redis,redis/redis,2014-12,1,84
OSS1,Redis,redis/redis,2015-01,2,86
OSS1,Redis,redis/redis,2015-02,1,87
OSS1,Redis,redis/redis,2015-03,1,88
OSS1,Redis,redis/redis,2015-04,1,89
